tokens,pred_labels,aligned_tokens
Default,O,Default
Mode,O,Mode
Connectivity,O,Connectivity
in,O,in
Major,B-Application Area,Major
Depressive,I-Application Area,Depressive
Disorder,I-Application Area,Disorder
Measured,O,Measured
Up,O,Up
to,O,to
10,B-Dosage,10
Days,I-Dosage,Days
After,O,After
Ketamine,B-Dosage,Ketamine
Administration.^,I-Dosage,Administration
"
",O, .
BACKGROUND,O,BACKGROUND
:,O,:
The,O,The
symptoms,O,symptoms
of,O,of
major,B-Application Area,major
depressive,I-Application Area,depressive
disorder,I-Application Area,disorder
(,O,(
MDD,O,MDD
),O,)
are,O,are
rapidly,O,rapidly
alleviated,O,alleviated
by,O,by
administration,O,administration
of,O,of
a,O,a
single,O,single
dose,O,dose
of,O,of
the,O,the
glutamatergic,O,glutamatergic
modulator,O,modulator
ketamine,O,ketamine
.,O,.
However,O,However
",",O,","
few,O,few
studies,O,studies
have,O,have
investigated,O,investigated
the,O,the
potential,O,potential
sustained,O,sustained
neural,O,neural
effects,O,effects
of,O,of
this,O,this
agent,O,agent
beyond,O,beyond
immediate,O,immediate
infusion,O,infusion
.,O,.
This,O,This
study,O,study
used,O,used
functional,O,functional
magnetic,O,magnetic
resonance,O,resonance
imaging,O,imaging
to,O,to
examine,O,examine
the,O,the
effect,O,effect
of,O,of
a,O,a
single,O,single
ketamine,O,ketamine
infusion,O,infusion
on,O,on
the,O,the
resting,O,resting
state,O,state
default,O,default
mode,O,mode
network,O,network
(,O,(
DMN,O,DMN
),O,)
at,O,at
2,B-Dosage,2
and,O,and
10,B-Dosage,10
days,O,days
after,O,after
a,O,a
single,O,single
ketamine,O,ketamine
infusion,O,infusion
in,O,in
unmedicated,O,unmedicated
subjects,O,subjects
with,O,with
MDD,B-Application Area,MDD
as,O,as
well,O,well
as,O,as
healthy,O,healthy
control,O,control
subjects,O,subjects
(,O,(
HCs,O,HCs
),O,)
.,O,.
METHODS,O,METHODS
:,O,:
Data,O,Data
were,O,were
drawn,O,drawn
from,O,from
a,O,a
double,O,double
-,O,-
blind,O,blind
",",O,","
placebo,O,placebo
-,O,-
controlled,O,controlled
crossover,O,crossover
study,O,study
of,O,of
58,B-Dosage,58
participants,O,participants
(,O,(
33,B-Dosage,33
with,O,with
MDD,B-Application Area,MDD
and,O,and
25,B-Dosage,25
HCs,O,HCs
),O,)
who,O,who
received,O,received
an,O,an
intravenous,O,intravenous
infusion,O,infusion
of,O,of
either,O,either
ketamine,O,ketamine
hydrochloride,O,hydrochloride
(,O,(
0.5,B-Dosage,0.5
mg,I-Dosage,mg
/,I-Dosage,/
kg,I-Dosage,kg
),O,)
or,O,or
placebo,O,placebo
on,O,on
2,B-Dosage,2
separate,O,separate
test,O,test
days,O,days
spaced,O,spaced
2,B-Dosage,2
weeks,O,weeks
apart,O,apart
.,O,.
Eight,O,Eight
minutes,O,minutes
of,O,of
functional,O,functional
magnetic,O,magnetic
resonance,O,resonance
imaging,O,imaging
resting,O,resting
state,O,state
data,O,data
was,O,was
acquired,O,acquired
at,O,at
baseline,O,baseline
and,O,and
at,O,at
about,O,about
2,B-Dosage,2
and,O,and
10,B-Dosage,10
days,O,days
after,O,after
both,O,both
infusions,O,infusions
.,O,.
The,O,The
DMN,O,DMN
was,O,was
defined,O,defined
using,O,using
seed,O,seed
-,O,-
based,O,based
correlation,O,correlation
and,O,and
was,O,was
compared,O,compared
across,O,across
groups,O,groups
and,O,and
scans,O,scans
.,O,.
RESULTS,O,RESULTS
:,O,:
In,O,In
subjects,O,subjects
with,O,with
MDD,B-Application Area,MDD
",",O,","
connectivity,O,connectivity
between,O,between
the,O,the
insula,O,insula
and,O,and
the,O,the
DMN,O,DMN
was,O,was
normalized,O,normalized
compared,O,compared
with,O,with
HCs,O,HCs
2,B-Dosage,2
days,O,days
postketamine,O,postketamine
infusion,O,infusion
.,O,.
This,O,This
change,O,change
was,O,was
reversed,O,reversed
after,O,after
10,B-Dosage,10
days,O,days
and,O,and
did,O,did
not,O,not
appear,O,appear
in,O,in
either,O,either
of,O,of
the,O,the
placebo,O,placebo
scans,O,scans
.,O,.
Group,O,Group
-,O,-
specific,O,specific
connectivity,O,connectivity
differences,O,differences
in,O,in
drug,O,drug
response,O,response
were,O,were
observed,O,observed
",",O,","
most,O,most
notably,O,notably
in,O,in
the,O,the
insula,O,insula
in,O,in
subjects,O,subjects
with,O,with
MDD,B-Application Area,MDD
and,O,and
in,O,in
the,O,the
thalamus,O,thalamus
in,O,in
HCs,O,HCs
.,O,.
CONCLUSIONS,O,CONCLUSIONS
:,O,:
Connectivity,O,Connectivity
changes,O,changes
in,O,in
the,O,the
insula,O,insula
in,O,in
subjects,O,subjects
with,O,with
MDD,B-Application Area,MDD
suggest,O,suggest
that,O,that
ketamine,O,ketamine
may,O,may
normalize,O,normalize
the,O,the
interaction,O,interaction
between,O,between
the,O,the
DMN,O,DMN
and,O,and
salience,O,salience
networks,O,networks
",",O,","
supporting,O,supporting
the,O,the
triple,O,triple
network,O,network
dysfunction,O,dysfunction
model,O,model
of,O,of
MDD,B-Application Area,MDD
.,O,.
