tokens,pred_labels,aligned_tokens
Pharmacokinetics,O,Pharmacokinetics
and,O,and
Pharmacodynamics,O,Pharmacodynamics
of,O,of
Lysergic,O,Lysergic
Acid,O,Acid
Diethylamide,O,Diethylamide
Microdoses,O,Microdoses
in,O,in
Healthy,O,Healthy
Participants.^,O,Participants.^
"
",O,
"""",B-Application Area,
Microdoses,I-Application Area,Microdoses
"""",O,
of,O,of
lysergic,B-Application Area,lysergic
acid,I-Application Area,acid
diethylamide,I-Application Area,diethylamide
(,O,(
LSD,O,LSD
),O,)
are,O,are
used,O,used
recreationally,O,recreationally
to,O,to
enhance,O,enhance
mood,O,mood
and,O,and
cognition,O,cognition
.,O,.
Increasing,O,Increasing
interest,O,interest
has,O,has
also,O,also
been,O,been
seen,O,seen
in,O,in
developing,O,developing
LSD,B-Application Area,LSD
into,O,into
a,O,a
medication,O,medication
.,O,.
Therefore,O,Therefore
",",O,","
we,O,we
performed,O,performed
a,O,a
pharmacokinetic,O,pharmacokinetic
-,O,-
pharmacodynamic,O,pharmacodynamic
study,O,study
using,O,using
very,O,very
low,O,low
doses,O,doses
of,O,of
LSD,B-Application Area,LSD
.,O,.
Single,O,Single
doses,B-Dosage,doses
of,I-Dosage,of
LSD,I-Dosage,LSD
base,I-Dosage,base
(,I-Dosage,(
5,I-Dosage,5
",",I-Dosage,","
10,I-Dosage,10
",",I-Dosage,","
and,I-Dosage,and
20,I-Dosage,20
µg,I-Dosage,µg
),I-Dosage,)
and,O,and
placebo,O,placebo
were,O,were
administered,O,administered
in,O,in
a,O,a
double,O,double
-,O,-
blind,O,blind
",",O,","
randomized,O,randomized
",",O,","
placebo,O,placebo
-,O,-
controlled,O,controlled
crossover,O,crossover
study,O,study
in,O,in
23,O,23
healthy,O,healthy
participants,O,participants
.,O,.
Test,O,Test
days,O,days
were,O,were
separated,O,separated
by,O,by
at,O,at
least,O,least
5,O,5
days,O,days
.,O,.
Plasma,O,Plasma
levels,O,levels
of,O,of
LSD,B-Application Area,LSD
and,O,and
subjective,O,subjective
effects,O,effects
were,O,were
assessed,O,assessed
up,O,up
to,O,to
6,O,6
hours,O,hours
after,O,after
administration,O,administration
.,O,.
Pharmacokinetic,O,Pharmacokinetic
parameters,O,parameters
were,O,were
determined,O,determined
using,O,using
compartmental,O,compartmental
modeling,O,modeling
.,O,.
Concentration,O,Concentration
-,O,-
subjective,O,subjective
effect,O,effect
relationships,O,relationships
were,O,were
described,O,described
using,O,using
pharmacokinetic,O,pharmacokinetic
-,O,-
pharmacodynamic,O,pharmacodynamic
modeling,O,modeling
.,O,.
Mean,O,Mean
(,O,(
95,O,95
%,O,%
confidence,O,confidence
interval,O,interval
),O,)
maximal,O,maximal
LSD,B-Application Area,LSD
concentrations,O,concentrations
were,O,were
151,O,151
pg,O,pg
/,O,/
