tokens,pred_labels,aligned_tokens
Ketamine,O,Ketamine
amplifies,O,amplifies
induced,O,induced
gamma,O,gamma
frequency,O,frequency
oscillations,O,oscillations
in,O,in
the,O,the
human,O,human
cerebral,O,cerebral
cortex.^,O,cortex.^
"
",O,
At,O,At
subanaesthetic,O,subanaesthetic
doses,O,doses
",",O,","
ketamine,O,ketamine
",",O,","
an,O,an
N,O,N
-,O,-
methyl,O,methyl
-,O,-
d,O,d
-,O,-
aspartate,O,aspartate
(,O,(
NMDA,O,NMDA
),O,)
receptor,O,receptor
antagonist,O,antagonist
",",O,","
has,O,has
demonstrated,O,demonstrated
remarkable,O,remarkable
and,O,and
rapid,O,rapid
antidepressant,B-Application Area,antidepressant
efficacy,I-Application Area,efficacy
in,O,in
patients,O,patients
with,O,with
treatment,B-Application Area,treatment
-,I-Application Area,-
resistant,I-Application Area,resistant
depression,I-Application Area,depression
.,O,.
The,O,The
mechanism,O,mechanism
of,O,of
action,O,action
of,O,of
ketamine,O,ketamine
is,O,is
complex,O,complex
and,O,and
not,O,not
fully,O,fully
understood,O,understood
",",O,","
with,O,with
altered,O,altered
glutamatergic,O,glutamatergic
function,O,function
and,O,and
alterations,O,alterations
of,O,of
high,O,high
-,O,-
frequency,O,frequency
oscillatory,O,oscillatory
power,O,power
(,O,(
Wood,O,Wood
et,O,et
al,O,al
.,O,.
",",O,","
2012,O,2012
),O,)
noted,O,noted
in,O,in
animal,O,animal
studies,O,studies
.,O,.
Here,O,Here
we,O,we
used,O,used
magnetoencephalography,O,magnetoencephalography
(,O,(
MEG,O,MEG
),O,)
in,O,in
a,O,a
single,O,single
blind,O,blind
",",O,","
crossover,O,crossover
study,O,study
to,O,to
assess,O,assess
the,O,the
neuronal,O,neuronal
effects,O,effects
of,O,of
0.5,B-Dosage,0.5
mg,I-Dosage,mg
/,I-Dosage,/
kg,I-Dosage,kg
intravenous,O,intravenous
ketamine,O,ketamine
on,O,on
task,O,task
-,O,-
related,O,related
high,O,high
-,O,-
frequency,O,frequency
oscillatory,O,oscillatory
activity,O,activity
in,O,in
visual,O,visual
and,O,and
motor,O,motor
cortices,O,cortices
.,O,.
Consistent,O,Consistent
with,O,with
animal,O,animal
findings,O,findings
",",O,","
ketamine,O,ketamine
increased,O,increased
beta,O,beta
amplitudes,O,amplitudes
",",O,","
decreased,O,decreased
peak,O,peak
gamma,O,gamma
frequency,O,frequency
in,O,in
visual,O,visual
cortex,O,cortex
and,O,and
significantly,O,significantly
amplified,O,amplified
gamma,O,gamma
-,O,-
band,O,band
amplitudes,O,amplitudes
in,O,in
motor,O,motor
and,O,and
visual,O,visual
cortices,O,cortices
.,O,.
The,O,The
amplification,O,amplification
of,O,of
gamma,O,gamma
-,O,-
band,O,band
activity,O,activity
has,O,has
previously,O,previously
been,O,been
linked,O,linked
in,O,in
animal,O,animal
studies,O,studies
to,O,to
cortical,O,cortical
pyramidal,O,pyramidal
cell,O,cell
disinhibition,O,disinhibition
.,O,.
This,O,This
study,O,study
provides,O,provides
direct,O,direct
translatable,O,translatable
evidence,O,evidence
of,O,of
this,O,this
hypothesis,O,hypothesis
in,O,in
humans,O,humans
",",O,","
which,O,which
may,O,may
underlie,O,underlie
the,O,the
anti,B-Application Area,anti
-,I-Application Area,-
depressant,I-Application Area,depressant
actions,I-Application Area,actions
of,O,of
ketamine,O,ketamine
.,O,.
(,O,(
PsycINFO,O,PsycINFO
Database,O,Database
Record,O,Record
(,O,(
c,O,c
),O,)
2017,O,2017
APA,O,APA
",",O,","
all,O,all
rights,O,rights
reserved,O,reserved
),O,)
