tokens,pred_labels,aligned_tokens
Single,O,Single
and,O,and
Repeat,O,Repeat
Doses,O,Doses
of,O,of
DMT,O,DMT
in,O,in
Healthy,O,Healthy
Subjects.^,O,Subjects.^
"
",O,
This,O,This
study,O,study
aims,O,aims
to,O,to
assess,O,assess
the,O,the
safety,O,safety
and,O,and
tolerability,O,tolerability
of,O,of
single,O,single
ascending,O,ascending
",",O,","
and,O,and
fixed,O,fixed
repeated,O,repeated
doses,B-Dosage,doses
of,O,of
N,O,N
",",O,","
N‐Dimethyltryptamine,O,N‐Dimethyltryptamine
(,O,(
DMT,O,DMT
),O,)
in,O,in
healthy,O,healthy
subjects,O,subjects
",",O,","
when,O,when
given,O,given
by,O,by
intravenous,O,intravenous
(,O,(
IV,O,IV
),O,)
infusion,O,infusion
.,O,.
