tokens,pred_labels,aligned_tokens
Psilocybin,O,Psilocybin
in,O,in
Adults,O,Adults
With,O,With
and,O,and
Without,O,Without
Autism,B-Application Area,Autism
Spectrum,I-Application Area,Spectrum
Disorder.^,I-Application Area,Disorder
"
",O, .^
To,O,To
do,O,do
this,O,this
",",O,","
the,O,the
brain,O,brain
response,O,response
to,O,to
two,O,two
single,O,single
acute,O,acute
doses,O,doses
of,O,of
partial,O,partial
serotonin,O,serotonin
(,O,(
5HT)1A/2A,O,5HT)1A/2A
receptor,O,receptor
agonist,O,agonist
psilocybin,O,psilocybin
(,O,(
COMP360,O,COMP360
),O,)
relative,O,relative
to,O,to
a,O,a
single,O,single
dose,O,dose
of,O,of
placebo,O,placebo
(,O,(
baseline,O,baseline
serotonin,O,serotonin
activity,O,activity
),O,)
will,O,will
be,O,be
compared,O,compared
in,O,in
healthy,O,healthy
autistic,O,autistic
and,O,and
non‐autistic,O,non‐autistic
adults,O,adults
.,O,.
Brain,O,Brain
function,O,function
will,O,will
be,O,be
assessed,O,assessed
using,O,using
a,O,a
range,O,range
of,O,of
MRI,O,MRI
(,O,(
fMRI,O,fMRI
and,O,and
MRS,O,MRS
),O,)
",",O,","
EEG,O,EEG
and,O,and
sensory,O,sensory
tasks,O,tasks
.,O,.
Unimodal,O,Unimodal
and,O,and
multimodal,O,multimodal
analyses,O,analyses
will,O,will
be,O,be
conducted,O,conducted
.,O,.
Please,O,Please
note,O,note
that,O,that
this,O,this
study,O,study
uses,O,uses
psilocybin,O,psilocybin
as,O,as
a,O,a
probe,O,probe
of,O,of
the,O,the
serotonin,O,serotonin
system,O,system
in,O,in
a,O,a
Case‐Control,O,Case‐Control
science,O,science
study,O,study
and,O,and
",",O,","
following,O,following
Scope,O,Scope
protocol,O,protocol
review,O,review
",",O,","
the,O,the
U.K.,O,U.K.
MHRA,O,MHRA
confirmed,O,confirmed
that,O,that
it,O,it
is,O,is
not,O,not
a,O,a
',O,'
Clinical,O,Clinical
Trial,O,Trial
of,O,of
an,O,an
Investigational,O,Investigational
Medicinal,O,Medicinal
Product,O,Product
',O,'
(,O,(
IMP,O,IMP
),O,)
as,O,as
defined,O,defined
by,O,by
the,O,the
EU,O,EU
Directive,O,Directive
2001/20,O,2001/20
/,O,/
EC,O,EC
.,O,.
