tokens,pred_labels,aligned_tokens
Neurocognitive,O,Neurocognitive
effects,O,effects
of,O,of
repeated,O,repeated
ketamine,O,ketamine
infusion,O,infusion
treatments,O,treatments
in,O,in
patients,O,patients
with,O,with
treatment,B-Application Area,treatment
resistant,I-Application Area,resistant
depression,I-Application Area,depression ( TRD
:,O,):
a,O,a
retrospective,O,retrospective
chart,O,chart
review.^,O,review.^
"
",O,
BACKGROUND,O,BACKGROUND
:,O,:
Ketamine,O,Ketamine
has,O,has
emerged,O,emerged
as,O,as
a,O,a
rapid,O,rapid
-,O,-
acting,O,acting
antidepressant,O,antidepressant
in,O,in
treatment,B-Application Area,treatment
-,I-Application Area,-
resistant,I-Application Area,resistant
depression,I-Application Area,depression
(,O,(
TRD,O,TRD
),O,)
increasingly,O,increasingly
used,O,used
in,O,in
non,O,non
-,O,-
research,O,research
",",O,","
clinical,O,clinical
settings,O,settings
.,O,.
Few,O,Few
studies,O,studies
",",O,","
however,O,however
",",O,","
have,O,have
examined,O,examined
neurocognitive,O,neurocognitive
effects,O,effects
of,O,of
repeated,O,repeated
racemic,O,racemic
ketamine,O,ketamine
infusion,O,infusion
treatments,O,treatments
in,O,in
patients,O,patients
with,O,with
TRD,B-Application Area,TRD
.,O,.
In,O,In
an,O,an
effort,O,effort
to,O,to
identify,O,identify
potential,O,potential
effects,O,effects
after,O,after
serial,O,serial
infusions,O,infusions
",",O,","
we,O,we
conducted,O,conducted
a,O,a
retrospective,O,retrospective
chart,O,chart
review,O,review
to,O,to
identify,O,identify
statistically,O,statistically
significant,O,significant
changes,O,changes
in,O,in
cognition,O,cognition
in,O,in
patient,O,patient
undergoing,O,undergoing
serial,O,serial
intravenous,O,intravenous
infusions,O,infusions
;,O,;
concomitantly,O,concomitantly
",",O,","
we,O,we
examined,O,examined
baseline,O,baseline
cognition,O,cognition
as,O,as
potential,O,potential
predictor,O,predictor
of,O,of
anti,O,anti
-,O,-
depressant,O,depressant
potential,O,potential
.,O,.
METHODS,O,METHODS
:,O,:
Twenty,O,Twenty
-,O,-
two,O,two
patients,O,patients
with,O,with
TRD,B-Application Area,TRD
were,O,were
examined,O,examined
after,O,after
they,O,they
finished,O,finished
the,O,the
induction,O,induction
phase,O,phase
of,O,of
8,B-Dosage,8
-,I-Dosage,-
10,I-Dosage,10
repeated,O,repeated
intravenous,O,intravenous
ketamine,O,ketamine
infusions,O,infusions
and,O,and
completed,O,completed
the,O,the
assessments,O,assessments
of,O,of
their,O,their
depressive,O,depressive
symptoms,O,symptoms
(,O,(
measured,O,measured
by,O,by
the,O,the
16,O,16
-,O,-
item,O,item
Quick,O,Quick
Inventory,O,Inventory
of,O,of
Depressive,O,Depressive
Symptomatology,O,Symptomatology
-,O,-
Self,O,Self
Report,O,Report
Scale,O,Scale
:,O,:
QIDS,O,QIDS
-,O,-
SR16,O,SR16
),O,)
and,O,and
cognitive,O,cognitive
function,O,function
(,O,(
measured,O,measured
by,O,by
the,O,the
Montreal,O,Montreal
Cognitive,O,Cognitive
Assessment,O,Assessment
:,O,:
MoCA,O,MoCA
),O,)
before,O,before
the,O,the
first,O,first
and,O,and
the,O,the
last,O,last
ketamine,O,ketamine
treatments,O,treatments
.,O,.
RESULTS,O,RESULTS
:,O,:
Repeated,O,Repeated
ketamine,O,ketamine
infusions,O,infusions
administered,O,administered
through,O,through
an,O,an
escalating,O,escalating
dose,O,dose
protocol,O,protocol
with,O,with
8,B-Dosage,8
-,I-Dosage,-
10,I-Dosage,10
infusion,O,infusion
sessions,O,sessions
produced,O,produced
a,O,a
47.2,O,47.2
%,O,%
reduction,O,reduction
response,O,response
in,O,in
depression,B-Application Area,depression
;,O,;
there,O,there
was,O,was
no,O,no
evidence,O,evidence
of,O,of
impairment,O,impairment
as,O,as
reflected,O,reflected
in,O,in
MoCA,O,MoCA
testing,O,testing
.,O,.
There,O,There
was,O,was
a,O,a
moderate,O,moderate
association,O,association
between,O,between
baseline,O,baseline
cognition,O,cognition
and,O,and
antidepressant,O,antidepressant
response,O,response
with,O,with
a,O,a
Pearson,O,Pearson
correlation,O,correlation
of,O,of
0.453,O,0.453
.,O,.
CONCLUSION,O,CONCLUSION
:,O,:
In,O,In
this,O,this
naturalistic,O,naturalistic
sample,O,sample
of,O,of
patients,O,patients
with,O,with
TRD,B-Application Area,TRD
in,O,in
our,O,our
clinical,O,clinical
service,O,service
",",O,","
repeated,O,repeated
ketamine,O,ketamine
infusions,O,infusions
significantly,O,significantly
decreased,O,decreased
depression,B-Application Area,depression
symptoms,O,symptoms
without,O,without
impairing,O,impairing
cognitive,O,cognitive
performance,O,performance
.,O,.
The,O,The
baseline,O,baseline
cognition,O,cognition
may,O,may
positively,O,positively
predict,O,predict
antidepressant,O,antidepressant
responses,O,responses
of,O,of
repeated,O,repeated
ketamine,O,ketamine
treatment,O,treatment
.,O,.
