tokens,pred_labels,aligned_tokens
Four,O,Four
weekly,O,weekly
ayahuasca,O,ayahuasca
sessions,O,sessions
lead,O,lead
to,O,to
increases,O,increases
in,O,in
"""",O,""""
acceptance,O,acceptance
"""",O,""""
capacities,O,capacities
:,O,:
A,O,A
comparison,O,comparison
study,O,study
with,O,with
a,O,a
standard,O,standard
8,B-Application Area,8
-,I-Application Area,-
week,I-Application Area,week
mindfulness,I-Application Area,mindfulness
training,I-Application Area,training
program.^,I-Application Area,program
"
",O, .^
Background,O,Background
:,O,:
The,O,The
therapeutic,O,therapeutic
effects,O,effects
of,O,of
the,O,the
Amazonian,O,Amazonian
plant,O,plant
tea,O,tea
ayahuasca,B-Application Area,ayahuasca
may,O,may
relate,O,relate
to,O,to
its,O,its
ability,O,ability
to,O,to
enhance,O,enhance
mindfulness,O,mindfulness
capacities,O,capacities
.,O,.
Ayahuasca,B-Application Area,Ayahuasca
induces,O,induces
a,O,a
modified,O,modified
state,O,state
of,O,of
awareness,O,awareness
through,O,through
the,O,the
combined,O,combined
action,O,action
of,O,of
its,O,its
active,O,active
principles,O,principles
:,O,:
the,O,the
psychedelic,O,psychedelic
N,B-Application Area,N
",",I-Application Area,","
N,I-Application Area,N
-,I-Application Area,-
dimethyltryptamine,I-Application Area,dimethyltryptamine
(,I-Application Area,(
DMT,I-Application Area,DMT
),I-Application Area,)
and,O,and
a,O,a
series,O,series
of,O,of
centrally,O,centrally
acting,O,acting
ß,O,ß
-,O,-
carbolines,O,carbolines
",",O,","
mainly,O,mainly
harmine,O,harmine
and,O,and
tetrahydroharmine,O,tetrahydroharmine
.,O,.
To,O,To
better,O,better
understand,O,understand
the,O,the
therapeutic,O,therapeutic
potential,O,potential
of,O,of
ayahuasca,B-Application Area,ayahuasca
",",O,","
here,O,here
we,O,we
compared,O,compared
the,O,the
impact,O,impact
on,O,on
mindfulness,O,mindfulness
capacities,O,capacities
induced,O,induced
by,O,by
two,O,two
independent,O,independent
interventions,O,interventions
:,O,:
(,O,(
a,O,a
),O,)
participation,O,participation
in,O,in
four,O,four
ayahuasca,B-Application Area,ayahuasca
sessions,O,sessions
without,O,without
any,O,any
specific,O,specific
purpose,O,purpose
related,O,related
to,O,to
improving,O,improving
mindfulness,O,mindfulness
capacities,O,capacities
;,O,;
and,O,and
(,O,(
b,O,b
),O,)
participation,O,participation
in,O,in
a,O,a
standard,O,standard
mindfulness,O,mindfulness
training,O,training
course,O,course
:,O,:
8,B-Dosage,8
weeks,I-Dosage,weeks
mindfulness,O,mindfulness
-,O,-
based,O,based
stress,O,stress
reduction,O,reduction
(,O,(
MBSR,O,MBSR
),O,)
",",O,","
with,O,with
the,O,the
specific,O,specific
goal,O,goal
of,O,of
improving,O,improving
these,O,these
skills,O,skills
.,O,.
Methods,O,Methods
:,O,:
Participants,O,Participants
of,O,of
two,O,two
independent,O,independent
groups,O,groups
completed,O,completed
two,O,two
self,O,self
-,O,-
report,O,report
instruments,O,instruments
:,O,:
The,O,The
Five,O,Five
Facet,O,Facet
Mindfulness,O,Mindfulness
Questionnaire,O,Questionnaire
(,O,(
FFMQ,O,FFMQ
),O,)
and,O,and
the,O,the
Experiences,O,Experiences
Questionnaire,O,Questionnaire
(,O,(
EQ,O,EQ
),O,)
.,O,.
The,O,The
MINDSENS,O,MINDSENS
Composite,O,Composite
Index,O,Index
was,O,was
also,O,also
calculated,O,calculated
",",O,","
including,O,including
those,O,those
EQ,O,EQ
and,O,and
FFMQ,O,FFMQ
items,O,items
that,O,that
have,O,have
proven,O,proven
to,O,to
be,O,be
the,O,the
most,O,most
sensitive,O,sensitive
to,O,to
meditation,O,meditation
practice,O,practice
.,O,.
Group,O,Group
A,O,A
(,O,(
n,O,n
=,O,=
10,O,10
),O,)
was,O,was
assessed,O,assessed
before,O,before
and,O,and
after,O,after
the,O,the
last,O,last
of,O,of
four,O,four
closely,O,closely
spaced,O,spaced
consecutive,O,consecutive
ayahuasca,B-Application Area,ayahuasca
sessions,O,sessions
.,O,.
Group,O,Group
B,O,B
(,O,(
n,O,n
=,O,=
10,O,10
),O,)
was,O,was
assessed,O,assessed
before,O,before
and,O,and
after,O,after
completion,O,completion
of,O,of
a,O,a
standard,O,standard
8,B-Application Area,8
-,I-Application Area,-
week,I-Application Area,week
MBSR,I-Application Area,MBSR
course,O,course
.,O,.
Results,O,Results
:,O,:
MBSR,O,MBSR
training,O,training
led,O,led
to,O,to
greater,O,greater
increases,O,increases
in,O,in
overall,O,overall
mindfulness,O,mindfulness
scores,O,scores
after,O,after
the,O,the
8,B-Dosage,8
-,I-Dosage,-
week,I-Dosage,week
period,O,period
.,O,.
MBSR,O,MBSR
but,O,but
not,O,not
ayahuasca,B-Application Area,ayahuasca
led,O,led
to,O,to
increases,O,increases
in,O,in
the,O,the
MINDSENS,O,MINDSENS
Composite,O,Composite
Index,O,Index
.,O,.
However,O,However
",",O,","
the,O,the
ayahuasca,B-Application Area,ayahuasca
sessions,O,sessions
induced,O,induced
comparable,O,comparable
increases,O,increases
in,O,in
the,O,the
Non,O,Non
-,O,-
Judging,O,Judging
subscale,O,subscale
of,O,of
the,O,the
FFMQ,O,FFMQ
",",O,","
specifically,O,specifically
measuring,O,measuring
"""",O,""""
acceptance,O,acceptance
.,O,.
"""",O,""""
Improving,O,Improving
this,O,this
capacity,O,capacity
allows,O,allows
for,O,for
a,O,a
more,O,more
detached,O,detached
and,O,and
less,O,less
judgmental,O,judgmental
stance,O,stance
toward,O,toward
potentially,O,potentially
distressing,O,distressing
thoughts,O,thoughts
and,O,and
emotions,O,emotions
.,O,.
Conclusion,O,Conclusion
:,O,:
The,O,The
present,O,present
findings,O,findings
suggest,O,suggest
that,O,that
a,O,a
small,O,small
number,O,number
of,O,of
ayahuasca,B-Application Area,ayahuasca
sessions,O,sessions
can,O,can
be,O,be
as,O,as
effective,O,effective
at,O,at
improving,O,improving
acceptance,O,acceptance
as,O,as
more,O,more
lengthy,O,lengthy
and,O,and
costly,O,costly
interventions,O,interventions
.,O,.
Future,O,Future
studies,O,studies
should,O,should
address,O,address
the,O,the
benefits,O,benefits
of,O,of
combining,O,combining
ayahuasca,B-Application Area,ayahuasca
administration,O,administration
with,O,with
mindfulness,O,mindfulness
-,O,-
based,O,based
interventions,O,interventions
.,O,.
This,O,This
will,O,will
allow,O,allow
us,O,us
to,O,to
investigate,O,investigate
if,O,if
ayahuasca,B-Application Area,ayahuasca
will,O,will
improve,O,improve
the,O,the
outcome,O,outcome
of,O,of
psychotherapeutic,O,psychotherapeutic
interventions,O,interventions
.,O,.
