tokens,pred_labels,aligned_tokens
Effects,O,Effects
of,O,of
a,O,a
single,O,single
subanaesthetic,O,subanaesthetic
dose,O,dose
of,O,of
ketamine,O,ketamine
on,O,on
pain,O,pain
and,O,and
mood,O,mood
after,O,after
laparoscopic,O,laparoscopic
bariatric,O,bariatric
surgery,O,surgery
A,O,A
randomised,O,randomised
double,O,double
-,O,-
blind,O,blind
placebo,O,placebo
controlled,O,controlled
study.^,O,study.^
"
",O,
BACKGROUND,O,BACKGROUND
When,O,When
administered,O,administered
as,O,as
a,O,a
continuous,O,continuous
infusion,O,infusion
",",O,","
ketamine,O,ketamine
is,O,is
known,O,known
to,O,to
be,O,be
a,O,a
potent,O,potent
analgesic,O,analgesic
and,O,and
general,O,general
anaesthetic,O,anaesthetic
.,O,.
Recent,O,Recent
studies,O,studies
suggest,O,suggest
that,O,that
a,O,a
single,O,single
low‐dose,O,low‐dose
administration,O,administration
of,O,of
ketamine,O,ketamine
can,O,can
provide,O,provide
a,O,a
long‐lasting,O,long‐lasting
effect,O,effect
on,O,on
mood,O,mood
",",O,","
but,O,but
its,O,its
effects,O,effects
when,O,when
given,O,given
in,O,in
the,O,the
postoperative,O,postoperative
period,O,period
have,O,have
not,O,not
been,O,been
studied,O,studied
.,O,". 
    "
OBJECTIVE,O,OBJECTIVE
We,O,We
hypothesised,O,hypothesised
that,O,that
a,O,a
single,O,single
low‐dose,O,low‐dose
administration,O,administration
of,O,of
ketamine,B-Application Area,ketamine
after,O,after
bariatric,B-Application Area,bariatric
surgery,I-Application Area,surgery
can,O,can
improve,O,improve
pain,O,pain
and,O,and
mood,O,mood
scores,O,scores
in,O,in
the,O,the
immediate,O,immediate
postoperative,O,postoperative
period,O,period
.,O,". 
    "
DESIGN,O,DESIGN
We,O,We
performed,O,performed
a,O,a
randomised,O,randomised
",",O,","
double‐blind,O,double‐blind
",",O,","
placebo‐controlled,O,placebo‐controlled
study,O,study
to,O,to
compare,O,compare
a,O,a
single,O,single
subanaesthetic,O,subanaesthetic
dose,O,dose
of,O,of
ketamine,O,ketamine
(,O,(
0.4,B-Dosage,0.4
mg,I-Dosage,mg
kg‐1,I-Dosage,kg‐1
),O,)
with,O,with
a,O,a
normal,O,normal
saline,O,saline
placebo,O,placebo
in,O,in
the,O,the
postanaesthesia,O,postanaesthesia
care,O,care
unit,O,unit
after,O,after
laparoscopic,B-Application Area,laparoscopic
gastric,I-Application Area,gastric
bypass,I-Application Area,bypass
and,O,and
gastrectomy,B-Application Area,gastrectomy
.,O,". 
    "
SETTING,O,SETTING
Single‐centre,O,Single‐centre
",",O,","
tertiary,O,tertiary
care,O,care
hospital,O,hospital
",",O,","
October,O,October
2014,O,2014
to,O,to
January,O,January
2018,O,2018
.,O,". 
    "
PATIENTS,O,PATIENTS
A,O,A
total,O,total
of,O,of
100,O,100
patients,O,patients
were,O,were
randomised,O,randomised
into,O,into
the,O,the
ketamine,O,ketamine
and,O,and
saline,O,saline
groups,O,groups
.,O,". 
    "
INTERVENTION,O,INTERVENTION
Patients,O,Patients
in,O,in
the,O,the
ketamine,O,ketamine
group,O,group
received,O,received
a,O,a
single,O,single
dose,O,dose
of,O,of
ketamine,O,ketamine
infusion,O,infusion
(,O,(
0.4,B-Dosage,0.4
mg,I-Dosage,mg
kg‐1,I-Dosage,kg‐1
),O,)
in,O,in
the,O,the
postanaesthesia,O,postanaesthesia
care,O,care
unit,O,unit
.,O,.
Patients,O,Patients
in,O,in
the,O,the
placebo,O,placebo
groups,O,groups
received,O,received
0.9,O,0.9
%,O,%
saline,O,saline
.,O,". 
    "
OUTCOME,O,OUTCOME
MEASURES,O,MEASURES
The,O,The
primary,O,primary
outcome,O,outcome
was,O,was
the,O,the
visual,O,visual
analogue,O,analogue
pain,O,pain
score,O,score
.,O,.
A,O,A
secondary,O,secondary
outcome,O,outcome
was,O,was
performance,O,performance
on,O,on
the,O,the
short‐form,O,short‐form
McGill,O,McGill
’s,O,’s
Pain,O,Pain
Questionnaire,O,Questionnaire
(,O,(
SF‐MPQ,O,SF‐MPQ
),O,)
.,O,". 
    "
RESULTS,O,RESULTS
There,O,There
were,O,were
no,O,no
significant,O,significant
differences,O,differences
in,O,in
visual,O,visual
analogue,O,analogue
pain,O,pain
scores,O,scores
between,O,between
groups,O,groups
(,O,(
group‐by‐time,O,group‐by‐time
interaction,O,interaction
P,O,P
¼,O,¼
0.966,O,0.966
;,O,;
marginal,O,marginal
group,O,group
effect,O,effect
P,O,P
¼,O,¼
0.137,O,0.137
),O,)
.,O,.
However,O,However
",",O,","
scores,O,scores
on,O,on
the,O,the
affective,O,affective
scale,O,scale
of,O,of
SF‐MPQ,O,SF‐MPQ
(,O,(
secondary,O,secondary
outcome,O,outcome
),O,)
significantly,O,significantly
decreased,O,decreased
in,O,in
the,O,the
ketamine,O,ketamine
group,O,group
as,O,as
early,O,early
as,O,as
postoperative,O,postoperative
day,O,day
(,O,(
POD,O,POD
),O,)
2,O,2
[,O,[
mean,O,mean
difference,O,difference
¼,O,¼
‐2.2,O,‐2.2
(,O,(
95,O,95
%,O,%
bootstrap,O,bootstrap
CI,O,CI
‐2.9,O,‐2.9
to,O,to
1.6,O,1.6
),O,)
",",O,","
Bonferroni,O,Bonferroni
adjusted,O,adjusted
P,O,P
<,O,<
0.001,O,0.001
],O,]
",",O,","
compared,O,compared
with,O,with
placebo,O,placebo
group,O,group
in,O,in
which,O,which
the,O,the
scores,O,scores
decreased,O,decreased
only,O,only
by,O,by
POD,O,POD
