tokens,pred_labels,aligned_tokens
Resting,O,Resting
-,O,-
state,O,state
Network,O,Network
-,O,-
specific,O,specific
Breakdown,O,Breakdown
of,O,of
Functional,O,Functional
Connectivity,O,Connectivity
during,O,during
Ketamine,B-Application Area,Ketamine
Alteration,O,Alteration
of,O,of
Consciousness,O,Consciousness
in,O,in
Volunteers.^,O,Volunteers.^
"
",O,
BACKGROUND,O,BACKGROUND
:,O,:
Consciousness,O,Consciousness
-,O,-
altering,O,altering
anesthetic,O,anesthetic
agents,O,agents
disturb,O,disturb
connectivity,O,connectivity
between,O,between
brain,O,brain
regions,O,regions
composing,O,composing
the,O,the
resting,O,resting
-,O,-
state,O,state
consciousness,O,consciousness
networks,O,networks
(,O,(
RSNs,O,RSNs
),O,)
.,O,.
The,O,The
default,O,default
mode,O,mode
network,O,network
(,O,(
DMn,O,DMn
),O,)
",",O,","
executive,O,executive
control,O,control
network,O,network
",",O,","
salience,O,salience
network,O,network
(,O,(
SALn,O,SALn
),O,)
",",O,","
auditory,O,auditory
network,O,network
",",O,","
sensorimotor,O,sensorimotor
network,O,network
(,O,(
SMn,O,SMn
),O,)
",",O,","
and,O,and
visual,O,visual
network,O,network
sustain,O,sustain
mentation,O,mentation
.,O,.
Ketamine,B-Application Area,Ketamine
modifies,O,modifies
consciousness,O,consciousness
differently,O,differently
from,O,from
other,O,other
agents,O,agents
",",O,","
producing,O,producing
psychedelic,O,psychedelic
dreaming,O,dreaming
and,O,and
no,O,no
apparent,O,apparent
interaction,O,interaction
with,O,with
the,O,the
environment,O,environment
.,O,.
The,O,The
authors,O,authors
used,O,used
functional,O,functional
magnetic,O,magnetic
resonance,O,resonance
imaging,O,imaging
to,O,to
explore,O,explore
ketamine,B-Application Area,ketamine
-,O,-induced
induced,O,
changes,O,changes
in,O,in
RSNs,O,RSNs
connectivity,O,connectivity
.,O,.
METHODS,O,METHODS
:,O,:
Fourteen,O,Fourteen
healthy,O,healthy
volunteers,O,volunteers
received,O,received
stepwise,B-Dosage,stepwise
intravenous,I-Dosage,intravenous
infusions,I-Dosage,infusions
of,I-Dosage,of
ketamine,I-Dosage,ketamine
up,I-Dosage,up
to,I-Dosage,to
loss,I-Dosage,loss
of,I-Dosage,of
responsiveness,I-Dosage,responsiveness
.,O,.
Because,O,Because
of,O,of
agitation,O,agitation
",",O,","
data,O,data
from,O,from
six,O,six
subjects,O,subjects
were,O,were
excluded,O,excluded
from,O,from
analysis,O,analysis
.,O,.
RSNs,O,RSNs
connectivity,O,connectivity
was,O,was
compared,O,compared
between,O,between
absence,O,absence
of,O,of
ketamine,B-Application Area,ketamine
(,O,(
wake,O,wake
state,O,state
[,O,[
W1,O,W1
],O,]
),O,)
",",O,","
light,O,light
ketamine,B-Application Area,ketamine
sedation,O,sedation
",",O,","
and,O,and
ketamine,B-Application Area,ketamine
-,O,-induced
